"","habitat1","habitat2","habitat3","habitat4","behavior","type1","type2","source","link"
"Neopomacentrus metallicus","rocky-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Neopomacentrus-metallicus.html","source"
"Neopomacentrus miryae","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-miryae.html","source"
"Neopomacentrus nemurus","coral-reef","sandy-bottom","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-nemurus.html","source"
"Neopomacentrus sindensis","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Neopomacentrus-sindensis.html","source"
"Neopomacentrus sororius","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-sororius.html","source"
"Neopomacentrus taeniurus","mangrove","estuary","freshwater","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-taeniurus.html","source"
"Neopomacentrus violascens","lagoon","rocky-reef","sandy-bottom","rubble","site-attached","inshore-reef","","https://www.fishbase.se/summary/Neopomacentrus-violascens.html","source"
"Neopomacentrus xanthurus","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-xanthurus.html","source"
"Nexilosus latifrons","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Nexilosus-latifrons.html","source"
"Parma victoriae","rocky-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Parma-victoriae.html","source"
"Parma alboscapularis","rocky-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Parma-alboscapularis.html","source"
"Parma mccullochi","rocky-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Parma-mccullochi.html","source"
"Parma microlepis","rocky-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Parma-microlepis.html","source"
"Parma occidentalis","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Parma-occidentalis.html","source"
"Parma oligolepis","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Parma-oligolepis.html","source"
"Plectroglyphidodon altus","rocky-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-altus.html","source"
"Plectroglyphidodon apicalis","lagoon","rubble","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-apicalis.html","source"
"Plectroglyphidodon aureus","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-aureus.html","source"
"Plectroglyphidodon dickii","lagoon","coral-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-dickii.html","source"
"Plectroglyphidodon emeryi","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Plectroglyphidodon-emeryi.html","source"
"Plectroglyphidodon fasciolatus","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-fasciolatus.html","source"
"Plectroglyphidodon gascoynei","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-gascoynei.html","source"
"Plectroglyphidodon imparipennis","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-imparipennis.html","source"
"Plectroglyphidodon insularis","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-insularis.html","source"
"Plectroglyphidodon johnstonianus","coral-reef","rocky-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Plectroglyphidodon-johnstonianus.html","source"
"Plectroglyphidodon leucozonus","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-leucozonus.html","source"
"Plectroglyphidodon luteobrunneus","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-luteobrunneus.html","source"
"Plectroglyphidodon marginatus","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-marginatus.html","source"
"Plectroglyphidodon obreptus","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-obreptus.html","source"
"Plectroglyphidodon phoenixensis","branching-coral","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Plectroglyphidodon-phoenixensis.html","source"
"Plectroglyphidodon randalli","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Plectroglyphidodon-randalli.html","source"
"Plectroglyphidodon sagmarius","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Plectroglyphidodon-sagmarius.html","source"
"Pomacentrus adelus","rubble","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-adelus.html","source"
"Pomacentrus albiaxillaris","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-albiaxillaris.html","source"
"Pomacentrus albicaudatus","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-albicaudatus.html","source"
"Pomacentrus alexanderae","lagoon","","","","site-attached","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Pomacentrus-alexanderae.html","source"
"Pomacentrus alleni","rubble","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-alleni.html","source"
"Pomacentrus amboinensis","lagoon","","","","site-attached","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Pomacentrus-amboinensis.html","source"
"Pomacentrus aquilus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-aquilus.html","source"
"Pomacentrus arabicus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-arabicus.html","source"
"Pomacentrus armillatus","sandy-bottom","coral-reef","soft-coral","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-armillatus.html","source"
"Pomacentrus aurifrons","coral-reef","","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-aurifrons.html","source"
"Pomacentrus auriventris","rubble","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-auriventris.html","source"
"Pomacentrus australis","lagoon","sandy-bottom","rubble","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-australis.html","source"
"Pomacentrus baenschi","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-baenschi.html","source"
"Pomacentrus bankanensis","lagoon","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-bankanensis.html","source"
"Pomacentrus brachialis","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-brachialis.html","source"
"Pomacentrus burroughi","rubble","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-burroughi.html","source"
"Pomacentrus caeruleopunctatus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-caeruleopunctatus.html","source"
"Pomacentrus caeruleus","rubble","coral-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Pomacentrus-caeruleus.html","source"
"Pomacentrus callainus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-callainus.html","source"
"Pomacentrus chrysurus","sandy-bottom","lagoon","coral-reef","rocky-reef","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-chrysurus.html","source"
"Pomacentrus coelestis","lagoon","rubble","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-coelestis.html","source"
"Pomacentrus flavioculus","lagoon","coral-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-flavioculus.html","source"
"Pomacentrus flavoaxillaris","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-flavoaxillaris.html","source"
"Pomacentrus geminospilus","sandy-bottom","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-geminospilus.html","source"
"Pomacentrus grammorhynchus","lagoon","branching-coral","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-grammorhynchus.html","source"
"Pomacentrus imitator","coral-reef","rocky-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Pomacentrus-imitator.html","source"
"Pomacentrus lepidogenys","lagoon","branching-coral","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-lepidogenys.html","source"
"Pomacentrus leptus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-leptus.html","source"
"Pomacentrus littoralis","coral-reef","rocky-reef","rubble","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-littoralis.html","source"
"Pomacentrus magniseptus","coral-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Pomacentrus-magniseptus.html","source"
"Pomacentrus melanochir","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-melanochir.html","source"
"Pomacentrus micronesicus","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-micronesicus.html","source"
"Pomacentrus microspilus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-microspilus.html","source"
"Pomacentrus milleri","coral-reef","rubble","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-milleri.html","source"
"Pomacentrus moluccensis","lagoon","branching-coral","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-moluccensis.html","source"
"Pomacentrus nagasakiensis","sandy-bottom","lagoon","soft-coral","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-nagasakiensis.html","source"
"Pomacentrus nigriradiatus","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-nigriradiatus.html","source"
"Pomacentrus nigromanus","lagoon","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-nigromanus.html","source"
"Pomacentrus nigromarginatus","coral-reef","rocky-reef","sandy-bottom","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-nigromarginatus.html","source"
"Pomacentrus pavo","sandy-bottom","lagoon","coral-reef","rubble","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-pavo.html","source"
"Pomacentrus philippinus","lagoon","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-philippinus.html","source"
"Pomacentrus reidi","lagoon","rubble","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-reidi.html","source"
"Pomacentrus similis","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-similis.html","source"
"Pomacentrus smithi","coral-reef","sandy-bottom","lagoon","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-smithi.html","source"
"Pomacentrus spilotoceps","coral-reef","","","","site-attached","inshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-spilotoceps.html","source"
"Pomacentrus stigma","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-stigma.html","source"
"Pomacentrus sulfureus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-sulfureus.html","source"
"Pomacentrus taeniometopon","lagoon","branching-coral","","","site-attached","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Pomacentrus-taeniometopon.html","source"
"Pomacentrus trichrourus","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-trichrourus.html","source"
"Pomacentrus trilineatus","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-trilineatus.html","source"
"Pomacentrus tripunctatus","rocky-reef","sandy-bottom","rubble","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-tripunctatus.html","source"
"Pomacentrus vaiuli","lagoon","coral-reef","rubble","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-vaiuli.html","source"
"Pomacentrus vatosoa","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-vatosoa.html","source"
"Pomacentrus wardi","coral-reef","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pomacentrus-wardi.html","source"
"Pomacentrus xanthosternus","coral-reef","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pomacentrus-xanthosternus.html","source"
"Pomachromis fuscidorsalis","coral-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Pomachromis-fuscidorsalis.html","source"
"Pomachromis richardsoni","coral-reef","rocky-reef","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Pomachromis-richardsoni.html","source"
"Pristotis obtusirostris","lagoon","sandy-bottom","rubble","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Pristotis-obtusirostris.html","source"
"Pycnochromis abruptus","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Pycnochromis-abruptus.html","source"
"Pycnochromis acares","coral-reef","rocky-reef","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Pycnochromis-acares.html","source"
"Pycnochromis alleni","coral-reef","rocky-reef","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Pycnochromis-alleni.html","source"
"Pycnochromis amboinensis","lagoon","crevice","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pycnochromis-amboinensis.html","source"
"Pycnochromis atripes","coral-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Pycnochromis-atripes.html","source"
"Pycnochromis caudalis","coral-reef","crevice","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Pycnochromis-caudalis.html","source"
"Pycnochromis delta","coral-reef","crevice","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Pycnochromis-delta.html","source"
"Pycnochromis dimidiatus","lagoon","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pycnochromis-dimidiatus.html","source"
"Pycnochromis fatuhivae","rocky-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pycnochromis-fatuhivae.html","source"
"Pycnochromis fieldi","coral-reef","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pycnochromis-fieldi.html","source"
"Pycnochromis hanui","coral-reef","","","","site-attached","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Pycnochromis-hanui.html","source"
"Pycnochromis howsoni","crevice","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pycnochromis-howsoni.html","source"
"Pycnochromis iomelas","coral-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Pycnochromis-iomelas.html","source"
"Pycnochromis leucurus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pycnochromis-leucurus.html","source"
"Pycnochromis lineatus","coral-reef","crevice","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Pycnochromis-lineatus.html","source"
"Pycnochromis margaritifer","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pycnochromis-margaritifer.html","source"
"Pycnochromis nigrurus","coral-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Pycnochromis-nigrurus.html","source"
"Pycnochromis ovatiformis","coral-reef","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pycnochromis-ovatiformis.html","source"
"Pycnochromis pacifica","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pycnochromis-pacifica.html","source"
"Pycnochromis retrofasciatus","lagoon","branching-coral","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Pycnochromis-retrofasciatus.html","source"
"Pycnochromis vanderbilti","rocky-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Pycnochromis-vanderbilti.html","source"
"Similiparma hermani","rocky-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Similiparma-hermani.html","source"
"Similiparma lurida","rocky-reef","sandy-bottom","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Similiparma-lurida.html","source"
"Stegastes acapulcoensis","rocky-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-acapulcoensis.html","source"
"Stegastes adustus","rocky-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-adustus.html","source"
"Stegastes albifasciatus","rocky-reef","lagoon","rubble","coral-reef","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-albifasciatus.html","source"
"Stegastes arcifrons","rocky-reef","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-arcifrons.html","source"
"Stegastes baldwini","rocky-reef","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-baldwini.html","source"
"Stegastes beebei","rocky-reef","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-beebei.html","source"
"Stegastes diencaeus","rocky-reef","coral-reef","lagoon","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-diencaeus.html","source"
"Stegastes flavilatus","rocky-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-flavilatus.html","source"
"Stegastes fuscus","rocky-reef","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-fuscus.html","source"
"Stegastes imbricatus","rocky-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-imbricatus.html","source"
"Stegastes lacrymatus","lagoon","rocky-reef","rubble","coral-reef","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-lacrymatus.html","source"
"Stegastes leucostictus","seagrass","rocky-reef","coral-reef","sandy-bottom","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-leucostictus.html","source"
"Stegastes limbatus","rocky-reef","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-limbatus.html","source"
"Stegastes lividus","rocky-reef","tide-pool","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-lividus.html","source"
"Stegastes nigricans","","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-nigricans.html","source"
"Stegastes otophorus","freshwater","estuary","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-otophorus.html","source"
"Stegastes partitus","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Stegastes-partitus.html","source"
"Stegastes pelicieri","rocky-reef","crevice","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-pelicieri.html","source"
"Stegastes pictus","rocky-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-pictus.html","source"
"Stegastes planifrons","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Stegastes-planifrons.html","source"
"Stegastes punctatus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-punctatus.html","source"
"Stegastes rectifraenum","rocky-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-rectifraenum.html","source"
"Stegastes rocasensis","lagoon","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Stegastes-rocasensis.html","source"
"Stegastes variabilis","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Stegastes-variabilis.html","source"
"Stegastes xanthurus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Stegastes-xanthurus.html","source"
"Teixeirichthys jordani","seagrass","sandy-bottom","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Teixeirichthys-jordani.html","source"
Abudefduf abdominalis	rocky-bottom	offshore-reefs	inshore-reefs	surge-pool
Abudefduf bengalensis	inshore-reef	lagoon
Abudefduf concolor	inshore-reefs	rocky-reefs
Abudefduf conformis
Abudefduf declivifrons	rocky-reefs
Abudefduf hoefleri	rocky-reefs
Abudefduf lorenzi	coastal-area
Abudefduf margariteus	coral-reef	coastal-reef
Abudefduf natalensis	rocky-inshore	offshore-reef
Abudefduf nigrimargo
Abudefduf notatus
Abudefduf saxatilis	tide-pool	shallow-reef
Abudefduf septemfasciatus	outer-reef	shallow-area
Abudefduf sexfasciatus	rocky-reefs	coral-reefs	offshore-reefs	inshore-reefs
Abudefduf sordidus	rocky	lagoon	flat-shoreline	tide-pool
Abudefduf sparoides	rocky-reef	coral-reef	shallow-water	lagoon	bottom-area	flat-area
Abudefduf taurus	inshore-reef	rocky-reef
Abudefduf troschelii	coral-reef	rocky-reef
Abudefduf vaigiensis	outer-reef	rocky-reef	inshore-reef
Abudefduf whitleyi	shallow-water	outer-periphery	individual-reef
Acanthochromis polyacanthus	coral-reefs	offshore-reefs	inshore-reefs
Altrichthys alelia	coral
Altrichthys azurelineatus	shore	shallow-depth
Altrichthys curatus	shelter	shore
Amblyglyphidodon aureus	outer-reef	steep-reef	deep-lagoon	habitat	coral
Amblyglyphidodon batunaorum	silty-lagoon	coral-colony
Amblyglyphidodon curacao	lagoon	coastal-embayment	reef	outer-reef
Amblyglyphidodon flavilatus	coral-reefs	outer-slope
Amblyglyphidodon flavopurpureus	outer-reef	black-coral
Amblyglyphidodon indicus
Amblyglyphidodon leucogaster	lagoon	reef	outer-reef
Amblyglyphidodon melanopterus
Amblyglyphidodon orbicularis
Amblyglyphidodon silolona	coral
Amblyglyphidodon ternatensis	-rich-area	coral-area	coastal	reef	coral	rock
Amblypomacentrus annulatus	sand-flat
Amblypomacentrus breviceps	coastal-area
Amblypomacentrus clarus
Amblypomacentrus kuiteri	coral-outcrop	rubble
Amblypomacentrus tricinctus	inshore-reef	coral	rock	sandy-area
Amphiprion akallopisos	inshore-reef	shallow-reef	habitat
Amphiprion akindynos	lagoon	outer-reefs
Amphiprion allardi	lagoon	outer-reef
Amphiprion barberi	coral-reef	anemone
Amphiprion biaculeatus	reef	coastal-water	lagoon
Amphiprion bicinctus	lagoon	outer-reef
Amphiprion chagosensis	seaward	reef	lagoon	reef	reef-top
Amphiprion chrysogaster	lagoon	outer-reefs
Amphiprion chrysopterus	outer-reef
Amphiprion clarkii	lagoon	outer-reef
Amphiprion ephippium	coastal-water	silty-water
Amphiprion frenatus	lagoon	reef
Amphiprion latezonatus	coral-reef	rocky-reef
Amphiprion latifasciatus	lagoon	outer-reefs	area
Amphiprion leucokranos	lagoon	outer-reef
Amphiprion mccullochi	lagoon	rocky-reefs
Amphiprion melanopus	outer-reef
Amphiprion nigripes	reef
Amphiprion ocellaris	coral-reef	anemone
Amphiprion omanensis	inshore-reefs
Amphiprion pacificus	anemone	Heteractis
Amphiprion percula	reef
Amphiprion perideraion	reef
Amphiprion polymnus	silty-lagoon
Amphiprion rubrocinctus	coastal	lagoon	reef
Amphiprion sandaracinos	lagoon	outer-reefs
Amphiprion sebae	coastal-water	lagoon
Amphiprion tricinctus	lagoon	outer-reef
Azurina atrilobata	rocky-reefs	coral-reefs
Azurina brevirostris
Azurina cyanea	outer-reef	deep-reef
Azurina elerae	crevice	outer-reef	steep-reef
Azurina hirundo	inshore-reefs	rocky-reefs
Azurina lepidolepis	rich-area	lagoon	seaward	reef
Azurina multilineata	patch	reef
Cheiloprion labiatus	coral	shallow-lagoon	reef
Chromis abyssicola	offshore-trawl	deep-trawl
Chromis abyssus	sand	rubble	rock
Chromis albicauda	area	western-shore	northern-shore
Chromis albomaculata	rocky-bottom	offshore-reef
Chromis alpha	clear-lagoon	seaward	reef
Chromis alta	rocky-reef	coral-reef
Chromis anadema
Chromis analis	outer-reef	steep-reef	rocky-bottom
Chromis atripectoralis	clear-lagoon	reef
Chromis bowesi
Chromis cadenati	rocky-reefs	offshore-trawl	deeper-trawl
Chromis chromis	rocky-reef	seagrass
Chromis chrysura	rocky-reefs	coral-reefs	outer-reefs
Chromis cinerascens	coral-reef
Chromis circumaurea	rock
Chromis crusma	rocky-reef
Chromis degruyi	reef	rock
Chromis dispila
Chromis earina	outer-reef	steep-reef	rocky-outcrop
Chromis flavapicis	rocky
Chromis flavaxilla	reef
Chromis fumea	rocky-reef	coral-reef
Chromis gunting
Chromis hangganan
Chromis hypsilepis	rocky-reef
Chromis insolata	seaward-reefs	outer-reefs
Chromis kennensis
Chromis klunzingeri	coral-reefs	offshore-reefs	inshore-reefs
Chromis limbata	rocky-reef	sand	area
Chromis limbaughi	rocky-reef
Chromis lubbocki	inshore-reef	rocky-reef
Chromis mamatapara	rocky-patch	reef	sandy-area	large-area	rocky-patch	reef	sandy-area	coral	rock	sandy	area	dead-reefs
Chromis mirationis	rocky-bottom	offshore-trawling	deep-trawling
Chromis nitida	outer-edge	certain-reefs	coralliferous-area	rich-area
Chromis notata	rocky-reefs	coral-reefs	offshore-reefs	inshore-reefs
Chromis okamurai
Chromis opercularis	outer-reef	deep-lagoon
Chromis ovalis
Chromis pamae
Chromis pelloura	outer-reef	steep-reef
Chromis pembae	outer-reef	steep-reef
Chromis punctipinnis	rock
Chromis randalli	rocky-reefs	offshore-reefs	inshore-reefs
Chromis sanctaehelenae	rocky	rubble	reef
Chromis scotochiloptera	seaward-reef	large-crevice
Chromis scotti	outer-slope	deeper-patch	reef
Chromis ternatensis	coral	clear-lagoon	outer-reef
Chromis tingting	deep-reefs	coral-cover	shallower
Chromis vanbebberae	reef	habitats	rocky-reef	coral-outcropping
Chromis verater	rocky-area
Chromis viridis	branching	coral	area	subtidal-reef	lagoon
Chromis weberi	outer-reef
Chromis woodsi	offshore-trawl	deep-trawl
Chromis xanthochira	outer-reef	deep-reef
Chromis xanthopterygia	rocky-reefs	coral-reefs
Chromis xanthura	outer-reef	steep-reef	coastal-reef	shallow-reef
Chromis yamakawai
Chrysiptera biocellata	inner-reef	shallow-lagoon	rubble	rocky-outcrop
Chrysiptera brownriggii	rubble	outermost-reach	reef
Chrysiptera burtjonesi
Chrysiptera caeruleolineata	rubble	rocky-outcrop	sand	outer-reef	steep-reef	rich-coral	rubble	deep-slope
Chrysiptera caesifrons	rocky-substrate
Chrysiptera chrysocephala	area	lagoon	reef
Chrysiptera cyanea	rubble	coral	lagoon	subtidal-reef
Chrysiptera ellenae
Chrysiptera flavipinnis	rubble	coral-outcrop	sandy-area
Chrysiptera galba	outer-reef
Chrysiptera giti	reefs
Chrysiptera glauca	rubble	reef	rock	intertidal-reef	sandy-beach
Chrysiptera hemicyanea	shore	reef	branching	coral
Chrysiptera maurineae
Chrysiptera oxycephala	live-coral	lagoon	inshore-reefs
Chrysiptera papuensis
Chrysiptera parasema	rich-area	lagoon	coral-reefs	inshore-reefs
Chrysiptera rapanui
Chrysiptera rex	coastal	outer-reef
Chrysiptera rollandi	lagoon	outer-reef
Chrysiptera sinclairi	coral-reefs
Chrysiptera springeri	rich-area	lagoon	coral-reefs	inshore-reefs
Chrysiptera starcki	rocky-outcrop	crevice	outer-reef
Chrysiptera talboti	rich-area	seaward	reef	deep-lagoon
Chrysiptera taupou	coral-reef	offshore-reef
Chrysiptera traceyi	reef
Chrysiptera unimaculata	algal-reefs	coastal-reefs	rubble	rock	reef-flat
